"stationId","lat","lon","elev","stationName","longRecord"
440,52.1099999999999,4.30999999999999,0.4,"Scheveningen",TRUE
441,52.3699999999999,4.91,1,"Amsterdam (Marinekazerne)",TRUE
442,52.0799999999999,4.69,-1.6,"Boskoop",TRUE
443,52.0099999999999,4.71999999999999,-1.5,"Gouda",TRUE
444,52.1899999999999,4.41,7.3,"Katwijk aan den Rijn",TRUE
447,51.7199999999999,4.29999999999999,0.4,"Den Bommel",TRUE
449,52.0099999999999,4.37,0.3,"Delft",FALSE
450,51.7299999999999,4.41999999999999,0.2,"Numansdorp",FALSE
451,51.89,4.54999999999999,-1.2,"IJsselmonde",TRUE
453,51.9799999999999,4.49,-6,"Bergschenhoek",TRUE
454,52.2599999999999,4.54999999999999,0.1,"Lisse",TRUE
455,51.7599999999999,4.58,-0.7,"Strijen",FALSE
456,51.9099999999999,4.08999999999999,2,"Oostvoorne",FALSE
458,52.2599999999999,4.76999999999999,-4.3,"Aalsmeer",FALSE
461,51.8599999999999,4.54,-0.4,"Barendrecht",FALSE
462,51.75,4.08999999999999,0.5,"Dirksland",FALSE
463,51.84,4.12,-0.3,"Nieuw-Helvoet",FALSE
464,51.8999999999999,4.16,0.7,"Brielle",FALSE
465,51.8599999999999,4.69,-1,"Oud-Alblas",FALSE
467,51.85,4.38999999999999,0.2,"Poortugaal",FALSE
469,52.14,4.48,-1.3,"Leiden",FALSE
470,52.14,4.83999999999999,-1.9,"Zegveld",FALSE
471,51.82,3.89,1.2,"Ouddorp",FALSE
539,51.8599999999999,5.80999999999999,10.1,"Nijmegen",FALSE
541,51.9799999999999,5.9,85,"Arnhem",TRUE
542,52.24,5.59999999999999,14,"Putten",TRUE
543,52.2199999999999,5.94,12,"Apeldoorn",TRUE
546,52.0799999999999,5.46,4,"Woudenberg",TRUE
547,52.2299999999999,5.46999999999999,0.2,"Nijkerk",TRUE
548,52.21,5.04,-0.8,"Loenen aan de Vecht",TRUE
549,51.93,5.21999999999999,1.5,"Culemborg",TRUE
550,52.1,5.17999999999999,1.7,"De Bilt",TRUE
557,52.1099999999999,6.07,15,"Eerbeek",TRUE
558,52.09,5.59999999999999,13.2,"Lunteren",TRUE
559,52.09,5,0.1,"Vleuten",FALSE
560,52,5.45,6.3,"Amerongen",FALSE
561,52,4.94,-1,"Benschop",TRUE
562,51.93,5.44,4.4,"Tiel",TRUE
563,52.2999999999999,5.04,-1.5,"Weesp",FALSE
564,52.3599999999999,5.69,4.2,"Hulshorst",FALSE
565,52.18,5.61,15,"Voorthuizen",FALSE
567,52.18,5.83,52,"Kootwijk-Radio",FALSE
570,52.2999999999999,5.78,28,"Elspeet",FALSE
571,52.1499999999999,5.73,24,"Harskamp",FALSE
572,52.2599999999999,4.98,-1.7,"Abcoude",FALSE
573,52.17,5.96,25,"Beekbergen",FALSE
576,52.25,5.38999999999999,-0.3,"Spakenburg",FALSE
578,52.0099999999999,5.83999999999999,21,"Oosterbeek",FALSE
579,52.03,5.58999999999999,6.4,"Veenendaal",FALSE
580,52.14,5.57,8.5,"Barneveld",FALSE
582,52.14,5.41999999999999,2.7,"Hamersveld",FALSE
583,51.9699999999999,5.65,15,"Wageningen PD",FALSE
584,51.8699999999999,5.26999999999999,3,"Geldermalsen",FALSE
663,52.1499999999999,6.36,12,"Lochem",TRUE
664,52.3599999999999,6.66999999999999,11.2,"Almelo",TRUE
665,52.21,6.91999999999999,54,"Enschede",TRUE
666,51.96,6.67999999999999,28.2,"Winterswijk",TRUE
667,51.9699999999999,6.29,12.2,"Doetinchem",TRUE
668,52.27,6.75999999999999,15.3,"Hengelo",TRUE
669,52.09,6.53,16.5,"Borculo",TRUE
670,52.27,6.9,46.1,"Twenthe (VB)",FALSE
672,52.39,6.45,10,"Hellendoorn",FALSE
673,51.8599999999999,6.34999999999999,15,"Gendringen",FALSE
674,52.09,6.71999999999999,26.6,"Rekken",FALSE
678,52.17,6.32,9,"Almen",FALSE
680,51.9099999999999,6.57,22.3,"Aalten",TRUE
681,52.27,6.26999999999999,8.1,"Lettele",FALSE
733,51.4399999999999,3.6,0.9,"Ritthem",TRUE
735,51.4799999999999,3.95,0.3,"Kapelle",TRUE
736,51.74,3.87999999999999,-1.3,"Brouwershaven",TRUE
737,51.68,3.85999999999999,-1.5,"Kerkwerve",TRUE
738,51.3299999999999,3.68999999999999,1.1,"Biervliet",TRUE
740,51.27,3.5,1.4,"Sint Kruis",TRUE
741,51.59,4.01999999999999,0.7,"Stavenisse",TRUE
742,51.34,3.83,1.6,"Terneuzen",FALSE
743,51.7,3.96,-0.8,"Noordgouwe",TRUE
744,51.64,4.12,1,"Anna Jacobapolder",TRUE
746,51.53,3.43999999999999,0.7,"Westkapelle",TRUE
747,51.43,4.09999999999999,0.8,"Krabbendijke",TRUE
